Author
Stephen King
J.K. Rowling
George Orwell
Agatha Christie
J.R.R. Tolkien
Haruki Murakami
Isaac Asimov
Jane Austen
Leo Tolstoy
Mark Twain
Virginia Woolf
Ernest Hemingway
Gabriel Garcia Marquez
Fyodor Dostoevsky
William Shakespeare
Neil Gaiman
Terry Pratchett
Brandon Sanderson
George R.R. Martin
Frank Herbert
Philip K. Dick
Kurt Vonnegut
Aldous Huxley
Mary Shelley
Bram Stoker
Edgar Allan Poe
H.P. Lovecraft
James Joyce
F. Scott Fitzgerald
John Steinbeck
William Faulkner
Toni Morrison
Alice Walker
Margaret Atwood
Octavia Butler
Ursula K. Le Guin
Douglas Adams
J.D. Salinger
Herman Melville
Charles Dickens
Victor Hugo
Alexandre Dumas
Arthur Conan Doyle
Jules Verne
Ray Bradbury
Robert Heinlein
C.S. Lewis
Suzanne Collins
Rick Riordan
N.K. Jemisin
Kazuo Ishiguro
Chimamanda Ngozi Adichie
Sally Rooney
Andy Weir
James Clear
Homer
Virgil
Dante Alighieri
Geoffrey Chaucer
John Milton
Johann Wolfgang von Goethe
Anton Chekhov
Nikolai Gogol
Ivan Turgenev
Mikhail Bulgakov
Franz Kafka
Thomas Mann
Albert Camus
Jean-Paul Sartre
Voltaire
Honoré de Balzac
Gustave Flaubert
Marcel Proust
Émile Zola
Miguel de Cervantes
Rabindranath Tagore
R.K. Narayan
Mulk Raj Anand
Bankim Chandra Chatterjee
Robert Jordan
Patrick Rothfuss
Andrzej Sapkowski
Leigh Bardugo
Naomi Novik
V.E. Schwab
Robin Hobb
Tamora Pierce
Diana Wynne Jones
Philip Pullman
Madeleine L’Engle
Laini Taylor
Holly Black
Cassandra Clare
Sarah J. Maas
Christopher Paolini
Arthur C. Clarke
William Gibson
Neal Stephenson
Kim Stanley Robinson
Alastair Reynolds
Iain M. Banks

Dan Simmons

Orson Scott Card

Michael Crichton

John Scalzi

Liu Cixin

Dashiell Hammett

Raymond Chandler

Dorothy L. Sayers

Ngaio Marsh

P.D. James

Ruth Rendell

Patricia Highsmith

Gillian Flynn

Tana French

Stieg Larsson

Jo Nesbø

Henning Mankell

Michael Connelly

James Patterson

Lee Child

Karin Slaughter

Louise Penny

Harlan Coben

Salman Rushdie

Arundhati Roy

Jhumpa Lahiri

Vikram Seth

Kiran Desai

Amitav Ghosh

Orhan Pamuk

Khaled Hosseini

Elif Shafak

Zadie Smith

Colson Whitehead

Ta-Nehisi Coates

Jesmyn Ward

Ocean Vuong

Rupi Kaur

Han Kang

Nathaniel Hawthorne

Washington Irving

Edith Wharton

Henry James

Walt Whitman

Emily Dickinson

Sylvia Plath

Anne Sexton

Langston Hughes

Ralph Ellison

James Baldwin

Richard Wright

Jack Kerouac

Allen Ginsberg

Malcolm Gladwell

Yuval Noah Harari

Steven Pinker

Richard Dawkins

Carl Sagan

Stephen Hawking

Jared Diamond

Nassim Nicholas Taleb

Paulo Coelho

Dan Brown

E.L. James

Nicholas Sparks

John Green

Veronica Roth

Stephanie Meyer

Colleen Hoover

Rainbow Rowell

Jenny Han

Angie Thomas

Becky Albertalli

David Baldacci

Wilbur Smith

Jeffrey Archer

Ken Follett

Michael Ondaatje

Yann Martel

Rohinton Mistry

Hilary Mantel

Ian McEwan

Margaret Drabble

Amit Chaudhuri

Vikram Chandra

Olga Tokarczuk

Wole Soyinka

Chinua Achebe

Ngũgĩ wa Thiong’o

Nadine Gordimer

J.M. Coetzee

Doris Lessing

Andre Brink

Maya Angelou

Gloria Steinem

bell hooks

Roxane Gay

Audre Lorde

Michelle Obama

Barack Obama

Nelson Mandela

Desmond Tutu

Dalai Lama

Thich Nhat Hanh

Eckhart Tolle

Deepak Chopra

Rhonda Byrne

Robin Sharma

Brian Tracy

Tony Robbins

Napoleon Hill

Dale Carnegie

Stephen R. Covey

Spencer Johnson

Mitch Albom

Cheryl Strayed

Elizabeth Gilbert

Glennon Doyle

Brené Brown

Julia Cameron

James Herriot

Beatrix Potter

Roald Dahl

Enid Blyton

A.A. Milne

Lewis Carroll

Kenneth Grahame

E.B. White

Laura Ingalls Wilder

Louisa May Alcott

L.M. Montgomery

Frances Hodgson Burnett

Dr. Seuss

Maurice Sendak

Shel Silverstein

Jacqueline Wilson

Michael Morpurgo

Rick Yancey

Scott Westerfeld

Marie Lu

Tahereh Mafi

Sabaa Tahir

Victoria Aveyard

Jennifer L. Armentrout

Veronica Rossi

Lauren Oliver

Eoin Colfer

Cornelia Funke

Lemony Snicket (Daniel Handler)

Anthony Horowitz

Ally Condie

Kami Garcia

Margaret Mitchell

Harper Lee

Truman Capote

Carson McCullers

Flannery O’Connor

Eudora Welty

William Styron

Norman Mailer

Joseph Heller

Thomas Pynchon

Don DeLillo

David Foster Wallace

Jonathan Franzen

Michael Chabon

Dave Eggers

Jonathan Safran Foer

Nicole Krauss

Jennifer Egan

Donna Tartt

Elizabeth Strout

Ann Patchett

Barbara Kingsolver

Alice Munro

Carol Shields

Margaret Laurence

Robertson Davies

Alaa Al Aswany

Naguib Mahfouz

Tayeb Salih

Elias Khoury

Hisham Matar

Amin Maalouf

Kahlil Gibran

Rumi

Omar Khayyam

Saadi Shirazi

Ferdowsi

Jhonen Vasquez

Chuck Palahniuk

Bret Easton Ellis

Irvine Welsh

Nick Hornby

Kazuo Watanabe

Banana Yoshimoto

Yukio Mishima

Kenzaburō Ōe

Natsume Sōseki

Yasunari Kawabata

Kobo Abe

Shūsaku Endō

Sei Shōnagon

Murasaki Shikibu

Mo Yan

Gao Xingjian

Qian Zhongshu

Eileen Chang

